Arrivals,Date,Employee_payday,Pension_payday,After_or_before_holiday,Monday,Tuesday,Wednesday,Thursday,Friday
1747,7/20,1,0,0,0,0,0,0,1
1182,7/23,0,0,0,1,0,0,0,0
842,7/24,0,0,0,0,1,0,0,0
818,7/25,0,0,0,0,0,1,0,0
822,7/26,0,0,0,0,0,0,1,0
1278,7/27,0,0,0,0,0,0,0,1
1184,7/30,0,0,0,1,0,0,0,0
989,7/31,0,0,0,0,1,0,0,0
1506,8/1,0,0,0,0,0,1,0,0
1155,8/2,0,0,0,0,0,0,1,0
1889,8/3,1,0,0,0,0,0,0,1
1235,8/6,0,0,0,1,0,0,0,0
957,8/7,0,0,0,0,1,0,0,0
891,8/8,0,0,0,0,0,1,0,0
1067,8/9,0,0,0,0,0,0,1,0
1475,8/10,0,0,0,0,0,0,0,1
1051,8/13,0,0,0,1,0,0,0,0
742,8/14,0,0,0,0,1,0,0,0
903,8/15,0,0,0,0,0,1,0,0
793,8/16,0,0,0,0,0,0,1,0
1515,8/17,1,0,0,0,0,0,0,1
1127,8/20,0,0,0,1,0,0,0,0
860,8/21,0,0,0,0,1,0,0,0
778,8/22,0,0,0,0,0,1,0,0
784,8/23,0,0,0,0,0,0,1,0
1060,8/24,0,0,0,0,0,0,0,1
930,8/27,0,0,0,1,0,0,0,0
738,8/28,0,0,0,0,1,0,0,0
660,8/29,0,0,0,0,0,1,0,0
800,8/30,0,0,0,0,0,0,1,0
1897,8/31,1,1,1,0,0,0,0,1
1491,9/4,0,0,1,0,1,0,0,0
859,9/5,0,0,0,0,0,1,0,0
810,9/6,0,0,0,0,0,0,1,0
1173,9/7,0,0,0,0,0,0,0,1
929,9/10,0,0,0,1,0,0,0,0
701,9/11,0,0,0,0,1,0,0,0
647,9/12,0,0,0,0,0,1,0,0
851,9/13,0,0,0,0,0,0,1,0
1559,9/14,1,0,0,0,0,0,0,1
1090,9/17,0,0,0,1,0,0,0,0
404,9/18,0,0,0,0,1,0,0,0
586,9/19,0,0,0,0,0,1,0,0
683,9/20,0,0,0,0,0,0,1,0
1124,9/21,0,0,0,0,0,0,0,1
953,9/24,0,0,0,1,0,0,0,0
697,9/25,0,0,0,0,1,0,0,0
727,9/26,0,0,0,0,0,1,0,0
678,9/27,0,0,0,0,0,0,1,0
1761,9/28,1,0,0,0,0,0,0,1
1615,10/1,0,1,0,1,0,0,0,0
1019,10/2,0,0,0,0,1,0,0,0
854,10/3,0,0,0,0,0,1,0,0
897,10/4,0,0,0,0,0,0,1,0
1307,10/5,0,0,0,0,0,0,0,1
796,10/8,0,0,0,1,0,0,0,0
648,10/9,0,0,0,0,1,0,0,0
735,10/10,0,0,0,0,0,1,0,0
843,10/11,0,0,0,0,0,0,1,0
1759,10/12,1,0,0,0,0,0,0,1
1151,10/15,0,0,0,1,0,0,0,0
752,10/16,0,0,0,0,1,0,0,0
693,10/17,0,0,0,0,0,1,0,0
649,10/18,0,0,0,0,0,0,1,0
1158,10/19,0,0,0,0,0,0,0,1
931,10/22,0,0,0,1,0,0,0,0
761,10/23,0,0,0,0,1,0,0,0
670,10/24,0,0,0,0,0,1,0,0
820,10/25,0,0,0,0,0,0,1,0
1543,10/26,1,0,0,0,0,0,0,1
974,10/29,0,0,0,1,0,0,0,0
685,10/30,0,0,0,0,1,0,0,0
848,10/31,0,0,0,0,0,1,0,0
1406,11/1,0,1,0,0,0,0,1,0
1578,11/2,0,0,0,0,0,0,0,1
1004,11/5,0,0,0,1,0,0,0,0
742,11/6,0,0,0,0,1,0,0,0
685,11/7,0,0,0,0,0,1,0,0
800,11/8,0,0,0,0,0,0,1,0
1454,11/9,1,0,0,0,0,0,0,1
890,11/12,0,0,0,1,0,0,0,0
693,11/13,0,0,0,0,1,0,0,0
693,11/14,0,0,0,0,0,1,0,0
914,11/15,0,0,0,0,0,0,1,0
1271,11/16,0,0,0,0,0,0,0,1
1031,11/19,0,0,0,1,0,0,0,0
949,11/20,0,0,0,0,1,0,0,0
1356,11/21,0,0,1,0,0,1,0,0
1085,11/23,0,0,1,0,0,0,0,1
1063,11/26,0,0,0,1,0,0,0,0
797,11/27,0,0,0,0,1,0,0,0
632,11/28,0,0,0,0,0,1,0,0
698,11/29,0,0,0,0,0,0,1,0
1691,11/30,0,1,0,0,0,0,0,1
1504,12/3,0,0,0,1,0,0,0,0
828,12/4,0,0,0,0,1,0,0,0
863,12/5,0,0,0,0,0,1,0,0
957,12/6,0,0,0,0,0,0,1,0
1585,12/7,1,0,0,0,0,0,0,1
1126,12/10,0,0,0,1,0,0,0,0
896,12/11,0,0,0,0,1,0,0,0
870,12/12,0,0,0,0,0,1,0,0
873,12/13,0,0,0,0,0,0,1,0
1471,12/14,0,0,0,0,0,0,0,1
1299,12/17,0,0,0,1,0,0,0,0
1058,12/18,0,0,0,0,1,0,0,0
1104,12/19,0,0,0,0,0,1,0,0
1018,12/20,0,0,0,0,0,0,1,0
1955,12/21,1,0,0,0,0,0,0,1
941,12/24,0,0,1,1,0,0,0,0
999,12/26,0,0,1,0,0,1,0,0
619,12/27,0,0,0,0,0,0,1,0
937,12/28,0,0,0,0,0,0,0,1
1146,12/31,0,0,0,1,0,0,0,0
